Flight Number,Departure Date,Departure Time,Arrival Date,Arrival Time,Origin Airport,Destination Airport,Airline,Status,Passenger Name,Passenger Email,Baggage Tag Number,Baggage Status
FL8904,2023-03-28,01:48,2023-06-10,16:31,QSP,UYS,Barr Ltd,On Time,Mary Lee,thomas59@example.org,BG2483,Delivered
FL7236,2023-06-12,21:16,2023-12-30,00:37,ZGZ,UUT,Cook-Dyer,On Time,Alan Anderson,yfisher@example.com,BG0333,Loaded
FL3847,2023-05-18,07:46,2023-11-14,08:13,CGU,DTR,Evans and Sons,On Time,Jeffery Lewis,thomasharris@example.org,BG6877,Delivered
FL4598,2023-10-20,08:40,2023-10-26,13:14,EIV,EIB,Gray LLC,On Time,Kevin Fletcher,cruzerin@example.com,BG5977,Checked-in
FL1196,2023-05-14,18:21,2023-11-06,15:53,MXV,GNO,"Thomas, Keller and Fox",On Time,Lori Hodge,elizabeth54@example.org,BG7121,Checked-in
FL7892,2023-05-31,06:34,2023-09-26,18:44,IAV,ZRC,"Spencer, Rodriguez and Jones",On Time,Morgan Morales,whitesuzanne@example.org,BG6147,Loaded
FL1719,2023-08-05,05:06,2023-10-12,12:59,HFY,JBW,"Jackson, Frank and Lamb",On Time,Cheryl Simmons,vharris@example.com,BG3728,Unloaded
FL7318,2023-09-14,12:05,2023-09-24,16:22,NMH,RJJ,"May, Clements and Jones",Delayed,Riley Anderson,robertskinner@example.org,BG1687,Unloaded
FL1770,2023-08-16,13:01,2023-10-28,20:02,DPW,MEY,Smith-Faulkner,On Time,Shannon Gregory,jacob72@example.org,BG3876,Delivered
FL8529,2023-09-17,04:59,2023-12-21,01:20,PGF,WAG,Shepherd-Campos,Delayed,Jeremy Nixon,kenneth32@example.net,BG5522,Delivered
FL6998,2023-01-11,01:52,2023-11-25,20:33,BQP,XJR,Davis Inc,Delayed,Mark Oliver,brad22@example.com,BG7421,Delivered
FL8125,2023-11-01,18:31,2023-12-23,13:22,SJP,UMZ,"Flores, Gonzalez and Hernandez",On Time,Trevor Ward,markwright@example.net,BG9464,Delivered
FL6294,2023-08-05,04:41,2023-08-15,19:59,AJS,THC,"Gutierrez, Cooper and Benton",On Time,Dr. Isaiah Porter,turneralejandro@example.net,BG6676,Delivered
FL7258,2023-06-09,21:01,2023-07-21,17:39,ULR,YNW,Howard Group,On Time,Craig Nelson,zholland@example.org,BG4669,Unloaded
FL6087,2023-12-07,00:28,2023-12-21,05:30,GDN,FLQ,"Wilson, Gonzalez and Terrell",Delayed,David Patterson,thomaspark@example.org,BG1153,Unloaded
FL6241,2023-02-10,09:09,2023-07-21,19:31,JJJ,UQP,Paul LLC,Cancelled,Scott Horton,derekdavis@example.net,BG0188,Delivered
FL9714,2023-02-26,10:55,2023-12-10,05:54,OKD,VZU,Cooley Ltd,On Time,Kristine Harper,tlara@example.com,BG3590,Checked-in
FL2179,2023-10-23,17:17,2023-10-29,11:14,ZAY,PEK,Lane-Thomas,Cancelled,Pamela Anderson,watkinsbrittany@example.com,BG6686,Loaded
FL1486,2023-08-21,05:34,2023-09-29,17:50,XYY,ARM,"Adams, Oconnor and Castro",On Time,Perry Watson,ana39@example.net,BG0465,Loaded
FL5383,2023-11-19,21:59,2023-11-25,18:24,UOO,WOO,Henderson-Washington,On Time,Lori Nichols,qtucker@example.com,BG1541,Loaded
FL6431,2023-01-10,12:24,2023-04-21,06:36,TNQ,KFR,Robinson Group,On Time,James Rodriguez MD,websterchristopher@example.org,BG2411,Delivered
FL8066,2023-09-18,04:07,2023-10-19,06:20,GHL,TDS,Carlson Inc,On Time,Daniel Johnson,tanderson@example.com,BG3638,Unloaded
FL9253,2023-09-03,06:32,2023-11-07,03:46,TWV,ADH,Foster Group,On Time,Benjamin Wilson,sgilbert@example.com,BG8027,Loaded
FL8264,2023-04-22,00:47,2023-10-30,11:09,VSZ,MAG,Tapia-Black,On Time,Alexis Walker,warrenstacy@example.org,BG5741,Delivered
FL2351,2023-10-19,19:45,2023-11-22,22:14,ZDI,NIN,Stephens Inc,On Time,Julia Garcia,frankortiz@example.com,BG5915,Loaded
FL2685,2023-07-29,23:58,2023-10-26,12:05,LEG,RBG,Young-Powell,On Time,Jaime Garcia,callen@example.org,BG4414,Loaded
FL3817,2023-05-07,13:39,2023-08-24,07:37,AWM,PLV,"Cross, Powell and Hernandez",On Time,Robert Wang,sandrarogers@example.net,BG1905,Delivered
FL3245,2023-07-24,18:10,2023-10-29,18:48,TDB,LFV,Cabrera Ltd,Cancelled,Jennifer Carter,johnthompson@example.org,BG9521,Delivered
FL3489,2023-07-17,18:01,2023-12-14,11:07,XGH,GPM,Archer-Taylor,On Time,Amanda Rodriguez,frederick65@example.com,BG6900,Delivered
FL8331,2023-03-26,10:27,2023-10-15,21:13,USV,MMZ,"Miller, Schmidt and Smith",On Time,Kendra Carpenter,vreed@example.net,BG5996,Checked-in
FL0421,2023-12-10,05:46,2023-12-18,09:45,VOS,XLO,Chen-Norris,On Time,Timothy Cervantes,richardsonadam@example.net,BG0770,Loaded
FL6671,2023-01-19,06:27,2023-10-18,04:07,IWK,NER,Holder Ltd,Delayed,Tracy Romero,amy56@example.org,BG0251,Delivered
FL5267,2023-08-28,05:57,2023-11-30,20:56,AZU,SBR,Baker-Wright,On Time,Ms. Makayla Wagner,nicole88@example.net,BG4800,Loaded
FL1349,2023-12-18,13:28,2023-12-24,13:25,NLI,SMF,Dean-Bennett,On Time,James Owens,blakegloria@example.org,BG1652,Loaded
FL1584,2023-10-21,00:55,2023-12-19,07:47,QHC,EUE,Lee-Zimmerman,On Time,Daniel Allen,alvarezbrittney@example.net,BG9046,Delivered
FL3585,2023-05-24,11:57,2023-06-13,10:33,VGA,BUF,Butler-Ruiz,On Time,Stephanie Peters,mosesjodi@example.org,BG2579,Delivered
FL9925,2023-11-19,23:34,2023-12-02,22:05,STO,PKO,"Wagner, Bennett and Ryan",On Time,Patricia Cabrera,wendy58@example.org,BG4941,Unloaded
FL0152,2023-09-21,03:48,2023-11-28,11:45,GAB,BRP,"Livingston, Moore and Adams",On Time,Rachel Allen,shannonlynch@example.net,BG8390,Unloaded
FL8329,2023-06-01,18:55,2023-09-18,22:24,EWH,XXI,"Allen, Malone and Ryan",On Time,Kenneth Turner,crystal08@example.org,BG0568,Delivered
FL4990,2023-10-02,06:18,2023-11-28,07:27,KRB,AAC,"Morales, Green and Lopez",On Time,Jonathan Santiago,gbrooks@example.org,BG4342,Unloaded
FL2207,2023-08-05,14:45,2023-10-03,23:02,SNH,ZVX,"Mayer, Brooks and Rivera",On Time,Teresa Miller,ybranch@example.net,BG3536,Loaded
FL3032,2023-01-03,12:57,2023-01-22,02:36,ZSO,FDQ,Townsend Inc,On Time,Christopher Gonzales,jharvey@example.org,BG9075,Unloaded
FL5206,2023-06-02,02:04,2023-12-28,04:19,TFR,DSF,Johnson and Sons,Delayed,Alexis Lewis,robert11@example.org,BG2008,Checked-in
FL2219,2023-01-15,02:31,2023-12-21,23:43,LHC,PFG,Henry-Stone,On Time,Melissa Foley,amy38@example.com,BG6141,Checked-in
FL8028,2023-12-16,10:21,2023-12-25,05:40,AKE,CWL,Cameron-Riley,Cancelled,Sarah Ramirez,jessica20@example.org,BG8663,Delivered
FL2072,2023-12-16,00:30,2023-12-22,13:01,LUP,FJL,"Mitchell, Reyes and Miller",On Time,Richard Hansen,elizabeth89@example.com,BG8768,Delivered
FL5796,2023-07-09,08:22,2023-10-01,09:16,RAY,WNZ,Jordan-Foster,On Time,Dana Gray,danielleclark@example.org,BG7590,Unloaded
FL6130,2023-07-18,15:27,2023-10-20,05:10,XJK,NIC,"Davis, Pena and Chung",On Time,Breanna Collins,nholt@example.net,BG9625,Checked-in
FL6051,2023-01-02,09:57,2023-06-27,01:03,UWG,JJW,Campbell LLC,On Time,Rebecca Cortez,nielsendouglas@example.net,BG1113,Loaded
FL7057,2023-09-09,05:26,2023-11-02,01:10,USE,SVP,"Johnson, Allen and Howell",On Time,Michael Gould,robert11@example.net,BG9833,Loaded
FL2863,2023-08-24,20:25,2023-12-06,04:32,VGI,UOK,Lawson Inc,On Time,Mr. David Morgan,kimberlycook@example.net,BG9719,Delivered
FL0272,2023-05-25,05:29,2023-07-26,22:34,YLO,YQS,Rose and Sons,On Time,Gina Johnston,amanda19@example.com,BG7643,Loaded
FL4665,2023-04-30,22:40,2023-07-13,23:42,UMF,WRB,"Lee, Sparks and Greer",On Time,Michelle Dunlap,monroechristina@example.com,BG7322,Unloaded
FL8886,2023-08-14,15:14,2023-09-19,05:39,IFD,LZY,"Perez, Hawkins and Mason",On Time,Mr. Bryan Foster MD,kmacias@example.org,BG2822,Unloaded
FL1906,2023-11-07,02:22,2023-12-23,12:19,KFU,WDE,Hardin LLC,Delayed,Christopher Mendez,racheljones@example.org,BG3014,Delivered
FL8748,2023-09-21,02:49,2023-11-12,13:45,DDR,OFK,Moreno and Sons,Cancelled,Rebecca Cross,nicholsonrobin@example.com,BG4989,Unloaded
FL2968,2023-04-18,13:54,2023-10-09,18:33,GRM,ZJO,"Nelson, Johnson and Ellis",Delayed,Eric Simon,codygreen@example.com,BG6451,Checked-in
FL9157,2023-08-10,04:53,2023-11-01,20:54,PTI,ITK,Johnson Group,On Time,Rebecca Faulkner,nancygreen@example.net,BG7175,Delivered
FL4269,2023-03-28,23:39,2023-06-05,16:52,WHW,BJJ,Moyer PLC,On Time,Stacy Greene,garciarobert@example.com,BG6787,Loaded
FL7513,2023-03-25,18:26,2023-06-03,06:13,WVT,NGD,"Pitts, Stewart and Davis",On Time,Vickie Leonard,zmeyers@example.com,BG0119,Checked-in
FL0502,2023-07-19,14:16,2023-09-05,10:46,ZCP,JVE,"Wilson, Savage and Ali",Cancelled,Bruce Kennedy,dyerlaurie@example.org,BG6920,Loaded
FL2022,2023-07-15,11:49,2023-07-27,17:31,CFD,ZKB,"West, Gross and Cunningham",On Time,Christine Jones,davidgates@example.com,BG2764,Checked-in
FL0843,2023-01-27,04:44,2023-04-11,07:22,YIV,YYS,French-Hernandez,Cancelled,Christina Camacho,pchristian@example.net,BG2208,Unloaded
FL8606,2023-03-28,16:55,2023-06-09,19:18,CRQ,ZDZ,Chapman LLC,Delayed,Tommy Roberts,durhammisty@example.net,BG4901,Unloaded
FL7092,2023-02-27,05:41,2023-05-22,13:39,GLW,CME,Henry-Dorsey,Cancelled,Yvette Mcclain,wsmith@example.org,BG8545,Checked-in
FL8076,2023-09-06,04:24,2023-12-27,13:14,ALM,RRA,Johnson Group,On Time,Christine Burch,jphillips@example.net,BG2109,Unloaded
FL2686,2023-11-12,06:22,2023-12-02,11:23,BSQ,KZO,"Bell, Davila and Davis",On Time,Laurie Pena,samantha47@example.net,BG6062,Unloaded
FL6713,2023-01-28,10:32,2023-12-17,13:59,NYS,EQO,Smith-Giles,Cancelled,Brent Freeman,travisdillon@example.com,BG3092,Loaded
FL7978,2023-11-03,03:17,2023-12-10,00:14,RWV,TOL,Fuller-Jones,Delayed,James Schaefer,timothy22@example.net,BG9813,Unloaded
FL5908,2023-04-14,22:13,2023-05-14,09:45,MYQ,CWZ,Davenport LLC,On Time,Rachel Goodman,uclark@example.org,BG3408,Unloaded
FL2457,2023-12-09,13:03,2023-12-19,19:52,XFQ,DDF,Wilson and Sons,Cancelled,Eric Moore,felicia50@example.org,BG4654,Checked-in
FL9291,2023-04-28,10:57,2023-05-24,10:44,DUF,AAM,"Robertson, Parsons and Carey",On Time,Megan Brown,reginalopez@example.net,BG4366,Checked-in
FL6195,2023-03-28,13:00,2023-04-15,18:42,ENM,ADC,Hendricks Inc,On Time,Lee Bell,kbooker@example.org,BG2848,Unloaded
FL1165,2023-07-03,04:55,2023-12-12,23:15,ADL,AFH,Taylor PLC,Delayed,Colleen Shaw,tonyachapman@example.com,BG6834,Delivered
FL6556,2023-03-16,11:21,2023-08-10,12:31,LTI,LKA,Perry-Wise,On Time,Vanessa Barrera,anita86@example.org,BG9333,Checked-in
FL9616,2023-10-15,21:40,2023-10-25,10:46,YWF,VJK,Benton-Stone,On Time,Michael Johnston,derricksandoval@example.org,BG4124,Checked-in
FL3158,2023-05-17,00:31,2023-08-10,05:30,JDI,KAT,Jackson LLC,Cancelled,Jennifer Brooks,ijohnson@example.org,BG9075,Unloaded
FL4572,2023-09-23,20:59,2023-11-02,19:52,TLJ,QRJ,Schwartz-Mercado,On Time,Barbara Fox,amy39@example.org,BG9900,Unloaded
FL2416,2023-05-29,03:18,2023-08-03,06:00,ZLV,QCC,Weber and Sons,Delayed,Kaitlin Thomas,karen04@example.net,BG8185,Checked-in
FL0664,2023-06-14,10:43,2023-06-20,02:24,XTD,WIR,Adams-Ruiz,On Time,Ricky Wolf,flowersdiane@example.net,BG2051,Loaded
FL4889,2023-12-28,14:22,2023-12-30,15:02,NXE,HVK,"Morgan, Holden and Brown",On Time,James Castillo,christopher52@example.net,BG2855,Unloaded
FL2319,2023-12-25,22:25,2023-12-29,21:02,ZCS,FRS,"Miller, Gray and Hunt",On Time,Matthew Hunt,ryan68@example.org,BG2119,Loaded
FL8127,2023-05-09,14:36,2023-07-26,03:21,HOO,HSE,"Smith, Jones and Mendoza",On Time,Jennifer Durham,derekwhite@example.org,BG2014,Delivered
FL5812,2023-02-21,23:41,2023-04-27,10:31,VDA,NLS,"Vazquez, Montoya and Villanueva",On Time,Daniel Zimmerman,haletom@example.net,BG5978,Unloaded
FL3739,2023-04-21,01:56,2023-11-26,04:04,HDF,DXQ,Shelton Ltd,On Time,Amanda Jones,timothyhubbard@example.net,BG7751,Loaded
FL7571,2023-10-03,02:04,2023-10-26,02:53,LQM,GHX,Summers-Harris,On Time,Michael Carroll,tpearson@example.org,BG9332,Loaded
FL7541,2023-12-11,00:15,2023-12-12,14:26,DGW,YNV,"Jackson, Romero and Ortiz",On Time,Mr. Michael Webb II,andrea04@example.org,BG6690,Unloaded
FL9085,2023-12-03,01:21,2023-12-06,01:20,YNW,VKR,Gibson-Stewart,On Time,Melissa Roth,cmartin@example.com,BG3984,Loaded
FL1585,2023-05-27,08:29,2023-10-10,11:34,YXO,KJZ,"Yang, Price and Velasquez",On Time,Aaron Bradley,maria71@example.net,BG9038,Loaded
FL4416,2023-08-31,14:20,2023-10-03,18:01,KBB,KQK,"Hansen, Harrington and Jimenez",Delayed,Jonathon Wolfe,jeffrey66@example.net,BG9264,Unloaded
FL4387,2023-05-05,16:42,2023-06-27,04:05,JQI,DNM,"Becker, Wall and Murray",Cancelled,Christine Bryant,cathyterry@example.com,BG8764,Loaded
FL6463,2023-08-08,03:05,2023-12-12,21:40,VHG,FGZ,"Chambers, Jones and Ponce",On Time,Alexander Lewis,ggriffin@example.net,BG6151,Delivered
FL7903,2023-12-02,17:46,2023-12-11,18:04,TFC,GHO,Johnston-Church,On Time,Rebecca Merritt DVM,kristine60@example.com,BG1033,Delivered
FL7822,2023-05-01,10:45,2023-09-10,16:24,BTX,AVW,Brock Ltd,On Time,Rebecca Li,fclark@example.com,BG1754,Unloaded
FL0214,2023-11-03,08:04,2023-12-28,07:21,YXC,EPP,Green Group,On Time,Steven Cross,cmorgan@example.com,BG1027,Delivered
FL6810,2023-05-31,11:15,2023-08-02,10:47,SYW,IHG,Little LLC,On Time,Kimberly Medina,roger02@example.net,BG3756,Unloaded
FL4923,2023-10-08,19:18,2023-12-04,11:10,QGR,SHI,Adams-Zamora,On Time,John Olson,walkersamantha@example.net,BG7406,Unloaded
FL1346,2023-09-30,02:10,2023-11-14,00:16,ZIV,DQN,"Charles, Newton and Campbell",On Time,James Freeman,zdawson@example.net,BG9804,Delivered
FL6133,2023-04-20,14:46,2023-05-01,07:10,HLB,QND,Barry-Payne,Cancelled,Jessica Randolph,kimberly10@example.com,BG7252,Delivered
FL1318,2023-08-03,16:12,2023-10-01,10:55,OFK,BTV,Lowery-Anderson,Delayed,Stephanie Nelson,cristianryan@example.com,BG6550,Delivered
FL1617,2023-11-09,17:10,2023-12-20,19:24,EVH,DDE,Frost-Banks,On Time,Wanda Craig,marcus46@example.net,BG7258,Checked-in
FL0139,2023-07-07,20:36,2023-11-25,07:27,LFR,COX,Owens LLC,On Time,Audrey Andrade,turnerdawn@example.com,BG4176,Checked-in
FL8418,2023-02-22,04:39,2023-04-02,01:25,SWZ,JPC,Little Inc,On Time,Lisa Curry,tyler67@example.net,BG9056,Unloaded
FL9746,2023-11-29,01:17,2023-12-14,14:17,NUL,ZMA,Rodriguez-Phillips,On Time,Dr. Frederick Kirk,murphydavid@example.net,BG9389,Loaded
FL6792,2023-03-31,10:53,2023-04-26,12:39,OMN,BYI,Rose Inc,On Time,Tyler David,pricechristopher@example.com,BG4484,Loaded
FL1185,2023-04-17,12:16,2023-06-26,13:43,QMO,MEG,Smith Ltd,On Time,William Gibson,hensondiane@example.com,BG8767,Loaded
FL1366,2023-11-20,15:48,2023-12-02,06:27,OSM,UBR,Horn-Steele,On Time,Richard Hoover,stacy64@example.com,BG2734,Loaded
FL7349,2023-04-29,08:05,2023-08-24,03:19,IZL,CCC,Watson Inc,Cancelled,Vanessa Chavez,bgordon@example.org,BG4622,Checked-in
FL3964,2023-10-06,11:17,2023-12-25,05:35,UEW,KFJ,Hernandez PLC,On Time,Austin Bryant,shane33@example.net,BG9735,Loaded
FL3028,2023-10-03,12:59,2023-12-08,03:06,FDQ,RCQ,Hines-Kelly,On Time,Pamela Martinez,andreaperkins@example.net,BG2547,Unloaded
FL4427,2023-05-20,00:36,2023-12-20,09:38,PEY,EUO,"Everett, Lowery and Mills",Cancelled,Charles Jackson,shannon44@example.com,BG9242,Checked-in
FL7745,2023-05-26,07:57,2023-08-19,15:32,HXU,YBM,Wilson Inc,On Time,Joseph Paul,david37@example.com,BG9930,Checked-in
FL3256,2023-05-12,18:51,2023-12-09,05:37,XLU,GDU,Mcconnell and Sons,On Time,Jessica Padilla,carrie64@example.net,BG1232,Delivered
FL3332,2023-02-14,04:56,2023-09-28,12:42,ZND,BWJ,Shaw LLC,On Time,Ashley Smith,tyler94@example.net,BG3230,Loaded
FL6222,2023-08-29,15:06,2023-10-03,22:25,KEK,ZIH,"Cantrell, Snyder and Morales",On Time,David Thompson,angelevans@example.com,BG1330,Checked-in
FL5529,2023-10-14,07:11,2023-12-19,18:47,LRX,SIA,Stanton-Gay,On Time,Lisa Turner,ayersronald@example.net,BG3537,Checked-in
FL8644,2023-09-30,07:38,2023-10-20,06:15,LKD,SPH,Morrow Ltd,On Time,Matthew Williams,kimberly21@example.com,BG7863,Checked-in
FL5211,2023-06-24,03:58,2023-07-05,03:12,BJY,IFG,Johnson and Sons,Delayed,Mary Johnston,jeannevazquez@example.org,BG2926,Delivered
FL5856,2023-02-10,08:58,2023-11-10,08:24,QZU,CID,Brown-Noble,On Time,Melissa Reyes,ifrost@example.com,BG0022,Delivered
FL5645,2023-01-16,16:48,2023-06-09,14:08,QED,WVI,Baker-Allen,On Time,Brendan Bailey,hebertpatricia@example.net,BG0303,Delivered
FL8816,2023-05-25,21:28,2023-10-08,22:25,ATC,TFQ,Le-White,On Time,Douglas Castillo,myersmary@example.org,BG5290,Loaded
FL4117,2023-12-08,08:53,2023-12-29,06:04,DZM,JRJ,Sparks-Bradley,On Time,Ryan Bell,jamescook@example.net,BG7757,Checked-in
FL8131,2023-01-23,16:30,2023-03-02,16:52,YYP,SSO,Jackson Group,On Time,Regina Mann,jenniferburch@example.com,BG2278,Delivered
FL1840,2023-01-06,18:16,2023-09-16,21:31,ATU,QWG,"Johnson, Zimmerman and Benitez",Delayed,Isaac Bradley,michaelpalmer@example.com,BG8454,Checked-in
